repo	revision	tier	bytes	file_sha256	status	answer_sha256	skip
raynardj/wenyanwen-chinese-translate-to-ancient	a5d4494b86f434a71fcde04d09e8e8dd73687663	full	269128	47f2375350743d5019a2ef107a7517cabdbe0b6fd47788c834252fe83732c829	ok	501bec70358bed61b85dc07cc0999a8b349d2fbbe1765a4898f32f699db97640	-
RLHFlow/ArmoRM-Llama3-8B-v0.1	eb2676d20da2f2d41082289d23c59b9f7427f955	full	9084673	047b18a87bd706a56ed77744bca837d7dec549b0d1076aee1cf269293bccf125	ok	14a792fe51fdd1d629910eabee2263a2d6c0e238967f2977011dc69f5022b592	-
s-nlp/roberta-base-formality-ranker	db9388f420a835ad49c45840adc9850a52240627	full	1356048	82139106e603ee4e1d5bc99d056ccbed5a92bc24848b1b5a7137c26e00d0dbf6	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
Salesforce/SFR-Embedding-Mistral	33a60fe7b5e00b9414981280c571e8a4f9f42f1b	full	1795989	386301223a5f22111c12f2d93d44ecdeadcf80443c71e25071881e10c25cefa6	ok	e6e1c80376f0d74d7f3ac377d9a5b2f80fdf9d3a07e37f7b4f242c02af54a3ea	-
SamLowe/roberta-base-go_emotions	d75048347613a25d77de8cf6412eaae9fa7b26be	full	2108856	90e2336a1cdacffe5d4328ab323aa9e5c33889026e4e4881323bebdeeb0e179d	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
sbintuitions/modernbert-ja-130m	28c180b16463ba6f3fa79b48756fbf21586fe23e	full	6724873	0a94ac9a0a02c067bdef25b72ae9f4ee33f48f552e55988d444f6d25eeb1d062	ok	3e22067eb5624635ff012f65109104d2ebdb788704de4a7b4c869966cf182bcd	-
sbintuitions/sarashina-embedding-v1-1b	d060fcd8984075071e7fad81baff035cbb3b6c7e	full	6724445	fdc3fbb4841c7d093617abb132d992885a755a5c1ee7fccd8c303d311aaeb5e0	ok	b2fecc687b7a8c780c0c33ff4388f385ecdfc89143e739b1c2b1363e2fc9bd78	-
SCUT-DLVCLab/lilt-roberta-en-base	96328faae824978e47bd0e8ea09f66b85efda5f5	full	2108584	ef452a691e3d07b7728f267ada7d87790d30ffc277b0f72ea3e2baa4f9105704	ok	ef640a6cb37d9be8105528c9ecb9ebbdab73433dfd046b8b9abdea5d59c78257	-
sdadas/mmlw-retrieval-roberta-large	2b7408433ce38eecf58be7089591722c6f295edf	full	8586355	254386e6c55cac5ec071e1f5e5e4c67670430c244f60d9dfdef718b00da03dc5	ok	3721a89cb68daef97a1e456c4c4021418c6c237c9723089eac473e627113ff01	-
sdadas/st-polish-paraphrase-from-mpnet	a95278b3ff89bcd4887875d01191079cba9d2c36	quick	3355789	c3b158a9b77c286c6a9257b9d7a9c309d0e459bff96696d5d6552aa2918040a2	ok	48ceb2b0b842565a12fdcd2ede3d6d07e2f3c1c7a974dc8590dce4c817873e7d	-
